text,neutral,positive,negative,compound,Sentiment
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt indoworkabroad cerita ini edisi ngobrol bareng kolega yang dari india dia ini lulusan iit indian institute technology semacam ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
the plateau mentioned locally known bhagwati moll initially earmarked indian institute te ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
all india management students convention indian institute technology madras research park 27 sep 22 tuesday ,0.0,1.0,0.0,0.0,Neutral
iitkanpur announces next cohort fully online emasters three new postgraduate programs communication ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt drsubhassarkar visited atal bihari vajpayee indian institute information technology management gwalior took part tree pl ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha permanent campus indian institute information technology dharwad iiit d karnataka namma hubbali dharwad ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
news the hindu 72 1 500 seats indian institute information technology basar ap oc ,0.0,1.0,0.0,0.0,Neutral
rt biswajitthongam attended 34th foundation day cum fresher meet national institute electronics amp information technology i ,0.0,1.0,0.0,0.0,Neutral
rt svvreducation first year students pgdm agri business management program sgi taken csir indian institute chemical te ,0.0,1.0,0.0,0.0,Neutral
first year students pgdm agri business management program sgi taken csir indian institute chemic ,0.0,1.0,0.0,0.0,Neutral
five tourists perished two subsequently passed away wounds hospital according autho ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt darshanajardosh participated annual convocation 2022 national institute fashion technology bengaluru these graduating stud ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
